ID,場所,市区町村,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,投稿者,備考,URL,協力者
75764549,八幡浜市日土町④,八幡浜市,衛星,open,1,,,742195-1,285,CBSB838001342,33.515889,132.460083,2024-04-28 20:45:02,@saiseki56,新規開局,https://x.com/saiseki56/status/1783408881290694814,@saiseki56
761cf705,今治市片山二丁目,今治市,コン柱,open,3,,,"737363-10,11,12","90,91,92",,34.05291891,132.9816801,2022-06-01 00:00:00,@imabarizine,,,@imabarizine
762290d9,松山市高山町,松山市,コン柱,open,3,,,"737283-10,11,12","209,208,207",,33.86848607,132.7239586,2022-06-01 00:00:00,wankosa,,,wankosa
76268a4f,伊予郡砥部町大南,砥部町,コン柱,open,3,,,"737556-1,2,3","19,365,363",,33.733474,132.789853,2023-03-03 20:38:00,@sfuruie0407,eNB-LCID変更,https://x.com/sfuruie0407/status/1631479728988381184,@sfuruie0407
7692af71,八幡浜市真網代①,八幡浜市,コン柱,open,2,,,"737503-4,5","74,73",,33.414014,132.395678,2023-03-24 21:55:49,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1639201813323984897,@imabarizine @saiseki56
76a15e87,今治市上浦町甘崎①,今治市,コン柱,open,3,,,"737451-1,2,3","80,124,3",,34.239303,133.050837,2023-04-30 21:13:31,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1652668158627700736,@imabarizine
76b7bde8,四国中央市川之江町④,四国中央市,コン柱,open,3,,,"737467-1,2,3","278,355,171",,34.005859,133.568695,2023-04-16 10:58:40,@kmtt2012,eNB-LCID変更,https://x.com/kmtt2012/status/1647229703110139911,@ene_gomi3R @kmtt2012
76ea332e,四国中央市川之江町①,四国中央市,コン柱,open,3,,,"737467-7,8,9","252,79,215",,34.011332,133.572077,2023-04-16 10:57:04,@kmtt2012,eNB-LCID変更,https://x.com/kmtt2012/status/1647220897386991623,@kmtt2012
7762579e,四国中央市中之庄町②,四国中央市,コン柱,open,2,1,2,"737332-1,2","80,369",,33.974409,133.536587,2024-04-28 22:10:34,@imabarizine,5G追加・ストリートビュー確認,,@imabarizine
7763d5ff,八幡浜市郷②,八幡浜市,コン柱,open,3,,,"737584-9,10,11","40,41,42",,33.46519,132.456325,2023-06-17 18:10:23,@saiseki56,開局,https://x.com/saiseki56/status/1675743805700714496,@saiseki56
77938d64,喜多郡内子町五十崎甲,内子町,コン柱,open,3,,,"737605-1,2,3","309,292,56",,33.535157,132.636092,2024-04-28 19:19:58,@saiseki56,開局,https://x.com/saiseki56/status/1725021753792176618,@saiseki56
77abf97a,伊予市中村,伊予市,コン柱,open,3,1,2,"737479-4,5,6","238,284,9",,33.737511,132.693172,2023-03-27 21:01:08,@saiseki56,eNB-LCID変更,https://x.com/saiseki56/status/1640290089329885184,@kmtt2012 @saiseki56
7863a508,松山市和泉南二丁目,松山市,コン柱,open,3,,,"737290-1,2,3","348,349,350",,33.8159314,132.7616821,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
7889b280,伊予市双海町上灘④,伊予市,コン柱,open,1,,,737574-4,20,CBSB838001346,33.68347,132.647765,2023-04-21 12:56:11,@saiseki55,新規開局,https://x.com/saiseki56/status/1649264440221798404,@saiseki55
788b816b,松山市来住町,松山市,コン柱,open,3,,,"737314-1,2,3","231,311,361",,33.8089968,132.803559,2022-06-01 00:00:00,@kmtt2012,,,@kmtt2012
78f04702,北宇和郡鬼北町大字沢松,鬼北町,コン柱,open,3,,,"737476-4,5,6","363,365,364",,33.270625,132.660025,2023-01-08 14:58:58,@kmtt2012,,https://x.com/kmtt2012/status/1611640041515941893,@amegokun @kmtt2012
793e5016,今治市大新田町五丁目,今治市,コン柱,open,3,1,3,"737378-1,2,3","86,114,340",,34.08093,132.989408,2022-06-01 00:00:00,@seaki @imabarizine,,,@seaki @imabarizine
795e27fd,今治市高橋①,今治市,コン柱,delete,,,,,,,34.039097,132.97306,2024-05-05 22:57:40,@imabarizine,撤去,https://x.com/raku10ehime/status/1787132128221856147,@seaki @imabarizine
7a3605f1,東温市樋口①,東温市,ピコセル,open,1,,,752280-1,387,,33.805811,132.883144,2022-08-04 08:35:42,@MVp7WugssM0KObp,場所名に番号追加,https://x.com/MVp7WugssM0KObp/status/1526329696501510144,@MVp7WugssM0KObp
7a7afb82,西条市玉之江,西条市,コン柱,open,3,,,"737549-1,2,3","131,127,234",,33.910722,133.097295,2023-05-04 12:55:18,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1654086790863790081,@llyd_nt @hals111 @imabarizine
7aa84121,松山市安城寺町②,松山市,コン柱,open,3,,,"737442-4,5,6","343,218,273",,33.88114974,132.7406504,2022-07-24 19:24:54,wankosa,開局,,wankosa
7aab5ca8,今治市吉海町仁江②,今治市,コン柱,open,3,,,"737566-1,2,3","13,293,99",,34.13597685,133.0624094,2024-05-03 21:07:24,@imabarizine,新規追加,https://x.com/raku10ehime/status/1786384696450167010,@imabarizine
7b20b1a0,今治市宅間,今治市,コン柱,open,3,,,"737366-1,2,3","44,43,42",,34.072849,132.946229,2022-06-01 00:00:00,@imabarizine,,,@imabarizine
7bdc67fd,新居浜市船木②,新居浜市,コン柱,open,3,1,2,"737489-1,2,3","246,1,86",,33.935311,133.342281,2024-05-11 22:35:21,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1789297629668524455,@hals111 @imabarizine
7be1e7cf,越智郡上島町岩城①,上島町,コン柱,open,3,,,"737484-3,4,5","60,230,124",,34.269334,133.146889,2024-05-03 21:58:19,@imabarizine,eNB-LCID変更,https://x.com/raku10ehime/status/1786390004496990546,@boyaboya01 @imabarizine
7c0568c7,越智郡上島町生名①,上島町,コン柱,open,3,,,"737400-7,8,9","364,240,251",,34.266843,133.184927,2024-05-03 21:52:01,@imabarizine,写真追加,https://x.com/raku10ehime/status/1786388748869280185,@boyaboya01 @imabarizine
7c863f32,今治市菊間町浜①,今治市,コン柱,open,3,3,1,"737495-9,10,11","123,177,94",,34.036187,132.840439,2024-05-05 23:13:49,@imabarizine,写真追加,https://x.com/raku10ehime/status/1787134348074131669,@imabarizine @seaki @kmtt2012
