,場所,市区町村,場所補足,設置タイプ,状況,sector,sub6,ミリ波,eNB-LCID,PCI,基地局ID,緯度,経度,更新日時,color,icon
228,松山市立花二丁目,松山市,,コン柱,open,3,,,"737325-7,8,9","195,197,196",,33.827734,132.773252,2022/06/01 00:00:00,green,signal
229,【5G】松山市畑寺二丁目,松山市,,コン柱,open,3,1,2,"737295-1,2,3","247,246,248",,33.8302281,132.7967697,2022/06/01 00:00:00,darkblue,plane
230,松山市三番町三丁目,松山市,,コン柱,open,3,,,"737304-10,11","147,149",,33.837997,132.76826,2022/06/01 00:00:00,green,signal
231,【5G】松山市中村一丁目,松山市,,コン柱,open,3,1,1,"737314-4,5,6","15,17,16",,33.83420405,132.7787598,2022/06/01 00:00:00,darkblue,plane
232,松山市樽味四丁目,松山市,フジ広告第3ビル,コン柱,open,3,,,"737327-7,8,9","193,162,299",,33.838476,132.785615,2022/06/01 00:00:00,green,signal
233,松山市道後喜多町,松山市,,コン柱,open,3,,,"737323-10,11,12","242,240,241",,33.850609,132.782662,2022/06/01 00:00:00,green,signal
234,【5G】松山市祝谷二丁目,松山市,,コン柱,open,3,1,2,"737318-1,2,3","125,307,306",,33.85620485,132.7784798,2022/06/01 00:00:00,darkblue,plane
235,松山市道後樋又,松山市,,コン柱,open,3,,,"737327-1,2,3","152,213,151",,33.852056,132.775109,2022/06/01 00:00:00,green,signal
236,松山市井門町①,松山市,,コン柱,open,3,,,"737329-1,2,3","94,95,93",,33.7978154,132.7847602,2022/06/01 00:00:00,green,signal
237,松山市居相二丁目,松山市,,コン柱,open,3,,,"737285-4,5,6","167,165,166",,33.8086306,132.7705846,2022/06/01 00:00:00,green,signal
238,【5G】松山市高井町,松山市,,コン柱,open,3,1,2,"737284-1,2,3","315,316,317",,33.798337,132.80772,2022/06/01 00:00:00,darkblue,plane
239,松山市石手白石,松山市,,コン柱,open,3,,,"737564-1,2,3","39,353,292",,33.844784,132.804488,2023/05/10 12:45:40,green,signal
240,松山市束本一丁目,松山市,,コン柱,open,3,,,"737314-10,11,12","71,70,69",,33.8348267,132.7866768,2022/06/01 00:00:00,green,signal
241,松山市市坪南一丁目,松山市,,コン柱,open,3,,,"737293-1,2,3","68,66,67",,33.80814471,132.7530878,2022/06/01 00:00:00,green,signal
242,【5G】松山市東野五丁目,松山市,,コン柱,open,3,3,3,"737295-7,8,9","238,239,237",,33.8368255,132.8006938,2022/06/01 00:00:00,darkblue,plane
243,松山市余戸中二丁目,松山市,,コン柱,open,3,,,"737312-4,5,6","331,330,332",,33.813358,132.728678,2022/06/01 00:00:00,green,signal
244,松山市南吉田町①,松山市,,コン柱,open,3,,,"737563-4,5,6","233,90,106",,33.827539,132.71503,2023/03/27 20:37:02,green,signal
245,松山市保免中三丁目,松山市,,コン柱,open,3,,,"737562-1,2,3","105,269,229",,33.81534,132.745773,2023/05/10 13:24:38,green,signal
246,松山市大可賀三丁目,松山市,,コン柱,open,3,,,"737283-1,2,3","136,137,135",,33.8472348,132.7031812,2022/06/01 00:00:00,green,signal
247,【5G】松山市西垣生町①,松山市,,コン柱,open,3,1,2,"737562-9,10,11","74,300,368",,33.81009,132.704065,2023/05/10 10:16:45,darkblue,plane
248,松山市西垣生町②,松山市,空港南,コン柱,open,3,,,"737315-6,7,8","59,44,43",,33.819831,132.703194,2022/06/01 00:00:00,green,signal
249,松山市空港通一丁目,松山市,,コン柱,open,3,,,"737312-1,2,3","83,82,81",,33.829527,132.749294,2022/06/01 00:00:00,green,signal
250,松山市北吉田町,松山市,,コン柱,open,3,,,"737313-1,2,3","339,341,340",,33.834298,132.710536,2022/06/01 00:00:00,green,signal
